"","ID","HOME_AIRPORT_ID","LAT1","LON1","CODE","FLIGHT_TYPE_ID","FLIGHT_NATURE_ID","PORT_AIRPORT_ID","LAT2","LON2","DESCRIPTION1","FLYING_TIME","LAT1c","LON1c"
"101",4549,2933,"27:51:39:S","28:14:46:E","DKH",2,1,1857,"4:0:22:N","9:43:10:E","HARARE / DOUALA / KINSHASA",0,-27.8608333333333,28.2461111111111
"102",4590,2933,"27:51:39:S","28:14:46:E","BZD",2,2,1857,"4:0:22:N","9:43:10:E","BRAZZAVILLE / DOUALA",0,-27.8608333333333,28.2461111111111
"103",4713,2933,"27:51:39:S","28:14:46:E","DUA",2,3,1857,"4:0:22:N","9:43:10:E","DOUALA",300,-27.8608333333333,28.2461111111111
"104",10641,2933,"27:51:39:S","28:14:46:E","DBF",2,1,1857,"4:0:22:N","9:43:10:E","KINSHASA / DOUALA / BRAZZAVILLE",0,-27.8608333333333,28.2461111111111
"105",11981,2933,"27:51:39:S","28:14:46:E","DLS",2,3,1857,"4:0:22:N","9:43:10:E","MALABO / DOUALA",0,-27.8608333333333,28.2461111111111
"106",4769,2933,"27:51:39:S","28:14:46:E","YAO",2,3,1858,"3:50:10:N","11:31:25:E","YAOUNDE INSIMALEN",0,-27.8608333333333,28.2461111111111
"107",4481,2933,"27:51:39:S","28:14:46:E","HAV",2,3,1863,"22:59:21:N","83:35:27:W","HAVANA",0,-27.8608333333333,28.2461111111111
"108",4618,2933,"27:51:39:S","28:14:46:E","SID",2,3,1864,"16:44:29:N","23:3:2:W","AMILCAR CABRAL INTERNATIONAL",10,-27.8608333333333,28.2461111111111
"109",7480,2933,"27:51:39:S","28:14:46:E","CIAT",2,2,1864,"16:44:29:N","23:3:2:W","CAPE TOWN / ATLANTA / ILHA DO SAL",10,-27.8608333333333,28.2461111111111
"110",4426,2933,"27:51:39:S","28:14:46:E","LFR",2,2,1872,"50:1:35:N","8:32:35:E","LONDON / FRANKFURT",0,-27.8608333333333,28.2461111111111
"111",4459,2933,"27:51:39:S","28:14:46:E","FRA",2,3,1872,"50:1:35:N","8:32:35:E","FRANKFURT",640,-27.8608333333333,28.2461111111111
"112",4716,2933,"27:51:39:S","28:14:46:E","FRP",2,2,1872,"50:1:35:N","8:32:35:E","FRANKFURT",0,-27.8608333333333,28.2461111111111
"113",13757,2933,"27:51:39:S","28:14:46:E","FRNB",2,3,1872,"50:1:35:N","8:32:35:E","FRANKFURT / NAIROBI",10,-27.8608333333333,28.2461111111111
"114",13779,2933,"27:51:39:S","28:14:46:E","FRUT",2,3,1872,"50:1:35:N","8:32:35:E","FRANKFURT / UPINGTON",10,-27.8608333333333,28.2461111111111
"115",4714,2933,"27:51:39:S","28:14:46:E","DUS",2,3,1873,"51:17:22:N","6:46:0:E","DUSSELDORF",0,-27.8608333333333,28.2461111111111
"116",4742,2933,"27:51:39:S","28:14:46:E","MUC",2,3,1910,"48:8:16:N","11:41:25:E","MUNICH",0,-27.8608333333333,28.2461111111111
"117",4457,2933,"27:51:39:S","28:14:46:E","COF",2,1,1925,"55:37:4:N","12:39:22:E","FRANKFURT / COPENHAGEN KASTRUP",0,-27.8608333333333,28.2461111111111
"118",4558,2933,"27:51:39:S","28:14:46:E","FRC",2,2,1925,"55:37:4:N","12:39:22:E","FRANKFURT / COPENHAGEN KASTRUP",0,-27.8608333333333,28.2461111111111
"119",4791,2933,"27:51:39:S","28:14:46:E","CPH",2,2,1925,"55:37:4:N","12:39:22:E","COPENHAGEN",0,-27.8608333333333,28.2461111111111
"120",13221,2933,"27:51:39:S","28:14:46:E","CPH1",2,3,1925,"55:37:4:N","12:39:22:E","COPENHAGEN",0,-27.8608333333333,28.2461111111111
"121",4405,2933,"27:51:39:S","28:14:46:E","ALG",2,3,1929,"36:41:28:N","3:12:55:E","ALGIERS",0,-27.8608333333333,28.2461111111111
"122",4452,2933,"27:51:39:S","28:14:46:E","ASC",2,2,1936,"30:7:19:N","31:24:20:E","ASWAN / CAIRO",0,-27.8608333333333,28.2461111111111
"123",4536,2933,"27:51:39:S","28:14:46:E","MCN",2,1,1936,"30:7:19:N","31:24:20:E","NAIROBI / CAIRO",0,-27.8608333333333,28.2461111111111
"124",4546,2933,"27:51:39:S","28:14:46:E","NCM",2,2,1936,"30:7:19:N","31:24:20:E","NAIROBI / CAIRO",0,-27.8608333333333,28.2461111111111
"125",4655,2933,"27:51:39:S","28:14:46:E","HCA",2,2,1936,"30:7:19:N","31:24:20:E","HARARE / CAIRO",0,-27.8608333333333,28.2461111111111
"126",4703,2933,"27:51:39:S","28:14:46:E","CAI",2,3,1936,"30:7:19:N","31:24:20:E","CAIRO",480,-27.8608333333333,28.2461111111111
"127",4743,2933,"27:51:39:S","28:14:46:E","NCA",2,2,1936,"30:7:19:N","31:24:20:E","NAIROBI / CAIRO",0,-27.8608333333333,28.2461111111111
"128",4787,2933,"27:51:39:S","28:14:46:E","CAH",2,1,1936,"30:7:19:N","31:24:20:E","HARARE / CAIRO",555,-27.8608333333333,28.2461111111111
"129",4668,2933,"27:51:39:S","28:14:46:E","MAD",2,3,1962,"40:29:37:N","4:25:59:W","MADRID",590,-27.8608333333333,28.2461111111111
"130",4393,2933,"27:51:39:S","28:14:46:E","LWA",2,2,1968,"8:58:40:N","38:47:57:E","LUSAKA / LILONGWE / ADDIS ABABA",0,-27.8608333333333,28.2461111111111
"131",4417,2933,"27:51:39:S","28:14:46:E","LEA",2,2,1968,"8:58:40:N","38:47:57:E","LUSAKA / ENTEBBE / ADDIS ABABA",0,-27.8608333333333,28.2461111111111
"132",4449,2933,"27:51:39:S","28:14:46:E","AAL",2,1,1968,"8:58:40:N","38:47:57:E","LILONGWE / ADDIS ABABA",0,-27.8608333333333,28.2461111111111
"133",4450,2933,"27:51:39:S","28:14:46:E","LLA",2,2,1968,"8:58:40:N","38:47:57:E","LILONGWE / ADDIS ABABA",0,-27.8608333333333,28.2461111111111
"134",4511,2933,"27:51:39:S","28:14:46:E","LAA",2,2,1968,"8:58:40:N","38:47:57:E","LUSAKA / ADDIS ABABA",0,-27.8608333333333,28.2461111111111
"135",4627,2933,"27:51:39:S","28:14:46:E","AAH",2,1,1968,"8:58:40:N","38:47:57:E","HARARE / ADDIS ABABA",0,-27.8608333333333,28.2461111111111
"136",4632,2933,"27:51:39:S","28:14:46:E","ADD",2,3,1968,"8:58:40:N","38:47:57:E","ADDIS ABABA",350,-27.8608333333333,28.2461111111111
"137",4774,2933,"27:51:39:S","28:14:46:E","HAA",2,2,1968,"8:58:40:N","38:47:57:E","HARARE / ADDIS ABABA",0,-27.8608333333333,28.2461111111111
"138",4777,2933,"27:51:39:S","28:14:46:E","ALU",2,1,1968,"8:58:40:N","38:47:57:E","LUSAKA / ADDIS ABABA",430,-27.8608333333333,28.2461111111111
"139",13756,2933,"27:51:39:S","28:14:46:E","ADMP",2,3,1968,"8:58:40:N","38:47:57:E","ADDIS ABABA / MAPUTO",10,-27.8608333333333,28.2461111111111
"140",4596,2933,"27:51:39:S","28:14:46:E","CDG",2,3,2061,"49:0:46:N","2:32:59:E","PARIS",625,-27.8608333333333,28.2461111111111
