"","ID","HOME_AIRPORT_ID","LAT1","LON1","CODE","FLIGHT_TYPE_ID","FLIGHT_NATURE_ID","PORT_AIRPORT_ID","LAT2","LON2","DESCRIPTION1","FLYING_TIME","LAT1c","LON1c","LAT2c","LON2c","distanza"
"60",4693,2933,"27:51:39:S","28:14:46:E","BBK",1,3,1805,"18:10:2:S","25:9:45:E","KASANE",0,-27.8608333333333,28.2461111111111,-18.1672222222222,25.1625,1122.96656885244
"61",4650,2933,"27:51:39:S","28:14:46:E","GBE",1,3,1806,"25:26:41:S","25:55:6:E","GABORONE",60,-27.8608333333333,28.2461111111111,-25.4447222222222,25.9183333333333,354.510311235426
"62",4652,2933,"27:51:39:S","28:14:46:E","GKA",2,1,1806,"25:26:41:S","25:55:6:E","KARASBURG / GABORONE",0,-27.8608333333333,28.2461111111111,-25.4447222222222,25.9183333333333,354.510311235426
"63",4574,2933,"27:51:39:S","28:14:46:E","JWA",1,3,1808,"25:23:52:S","24:41:28:E","JWANENG",0,-27.8608333333333,28.2461111111111,-25.3977777777778,24.6911111111111,447.030366288646
"64",4751,2933,"27:51:39:S","28:14:46:E","ORP",1,3,1809,"22:43:59:S","25:19:0:E","ORAPA",0,-27.8608333333333,28.2461111111111,-22.7330555555556,25.3166666666667,641.669830379041
"65",4651,2933,"27:51:39:S","28:14:46:E","GBM",2,2,1812,"20:1:39:S","23:25:52:E","GABORONE / MAUN",0,-27.8608333333333,28.2461111111111,-20.0275,23.4311111111111,998.755183602818
"66",4671,2933,"27:51:39:S","28:14:46:E","MGB",2,1,1812,"20:1:39:S","23:25:52:E","GABORONE / MAUN",0,-27.8608333333333,28.2461111111111,-20.0275,23.4311111111111,998.755183602818
"67",4741,2933,"27:51:39:S","28:14:46:E","MUB",1,3,1812,"20:1:39:S","23:25:52:E","MAUN",100,-27.8608333333333,28.2461111111111,-20.0275,23.4311111111111,998.755183602818
"68",4445,2933,"27:51:39:S","28:14:46:E","HLK",2,1,1844,"12:24:31:S","27:31:51:E","KINSHASA / LUBUMBASHI / HARARE",0,-27.8608333333333,28.2461111111111,-12.4086111111111,27.5308333333333,1719.81682656765
"69",4479,2933,"27:51:39:S","28:14:46:E","FBM",2,3,1844,"12:24:31:S","27:31:51:E","LUBUMBASHI",150,-27.8608333333333,28.2461111111111,-12.4086111111111,27.5308333333333,1719.81682656765
"70",4509,2933,"27:51:39:S","28:14:46:E","HKD",2,2,1845,"5:36:51:S","15:26:41:E","HARARE / DOUALA / KINSHASA",0,-27.8608333333333,28.2461111111111,-5.61416666666667,15.4447222222222,2819.03191804139
"71",4520,2933,"27:51:39:S","28:14:46:E","LBK",2,2,1845,"5:36:51:S","15:26:41:E","LUBUMBASHI / KINSHASA",0,-27.8608333333333,28.2461111111111,-5.61416666666667,15.4447222222222,2819.03191804139
"72",4548,2933,"27:51:39:S","28:14:46:E","KLU",2,1,1845,"5:36:51:S","15:26:41:E","LUBUMBASHI / KINSHASA",345,-27.8608333333333,28.2461111111111,-5.61416666666667,15.4447222222222,2819.03191804139
"73",4552,2933,"27:51:39:S","28:14:46:E","DUK",2,2,1845,"5:36:51:S","15:26:41:E","DOUALA / KINSHASA",0,-27.8608333333333,28.2461111111111,-5.61416666666667,15.4447222222222,2819.03191804139
"74",4557,2933,"27:51:39:S","28:14:46:E","FIH",2,3,1845,"5:36:51:S","15:26:41:E","KINSHASA",210,-27.8608333333333,28.2461111111111,-5.61416666666667,15.4447222222222,2819.03191804139
"75",4577,2933,"27:51:39:S","28:14:46:E","KDU",2,1,1845,"5:36:51:S","15:26:41:E","DOUALA / KINSHASA",0,-27.8608333333333,28.2461111111111,-5.61416666666667,15.4447222222222,2819.03191804139
"76",10661,2933,"27:51:39:S","28:14:46:E","FBD",2,2,1845,"5:36:51:S","15:26:41:E","DOUALA / BRAZZAVILLE / KINSHASA",0,-27.8608333333333,28.2461111111111,-5.61416666666667,15.4447222222222,2819.03191804139
"77",13656,2933,"27:51:39:S","28:14:46:E","FIH1",2,3,1845,"5:36:51:S","15:26:41:E","ABJ/FIH",0,-27.8608333333333,28.2461111111111,-5.61416666666667,15.4447222222222,2819.03191804139
